batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
55.0,168.511632,2.0,0.7,0.9,0.11309003586655098,0.95
56.0,127.650266,2.0,0.7,0.9,0.11091602424084133,1.0
57.0,127.77109,2.0,0.7,0.9,0.10919188630980685,0.95
58.0,149.459253,2.0,0.7,0.9,0.10721984306963596,1.0
59.0,132.633596,2.0,0.7,0.9,0.10555317640296931,0.95
60.0,307.422136,2.0,0.7,0.9,0.10376182917620501,1.0
61.0,153.114126,2.0,0.7,0.9,0.10214892595039855,0.95
62.0,126.403801,2.0,0.7,0.9,0.10051974041011402,1.0
63.0,168.176658,2.0,0.7,0.9,0.09895724041011403,0.95
64.0,132.579182,2.0,0.7,0.9,0.09747400561171375,1.0
65.0,173.420933,2.0,0.7,0.9,0.09595885409656223,0.95
66.0,220.352555,2.0,0.7,0.9,0.09460733910678198,1.0
67.0,125.662361,2.0,0.7,0.9,0.09313675087148787,0.95
68.0,139.909112,2.0,0.7,0.9,0.09190441916404031,1.0
69.0,149.585915,2.0,0.7,0.9,0.09047584773546889,0.95
70.0,129.489241,2.0,0.7,0.9,0.08935161859774966,1.0
71.0,183.780916,2.0,0.7,0.9,0.08796272970886077,0.95
72.0,155.248375,2.0,0.7,0.9,0.08693677807198084,1.0
73.0,167.968407,2.0,0.7,0.9,0.0855854267206295,0.95
74.0,180.969035,2.0,0.7,0.9,0.084649014528008,1.0
75.0,125.580835,2.0,0.7,0.9,0.08333322505432379,0.95
76.0,126.823519,2.0,0.7,0.9,0.08247855862679519,1.0
77.0,166.588894,2.0,0.7,0.9,0.08119650734474392,0.95
78.0,140.085775,2.0,0.7,0.9,0.08041661626278772,1.0
79.0,131.42962,2.0,0.7,0.9,0.07916661626278772,0.95
80.0,154.649889,2.0,0.7,0.9,0.07845525013068429,1.0
81.0,147.671797,2.0,0.7,0.9,0.07723573793556233,0.95
82.0,188.096151,2.0,0.7,0.9,0.0765872780654914,1.0
83.0,164.245222,2.0,0.7,0.9,0.07539680187501521,0.95
84.0,177.578916,2.0,0.7,0.9,0.07480618546803366,1.0
85.0,375.639476,2.0,0.7,0.9,0.07364339477035924,0.95
86.0,155.382302,2.0,0.7,0.9,0.07310604960426847,1.0
87.0,216.15918,2.0,0.7,0.9,0.07196968596790483,0.95
88.0,205.352446,2.0,0.7,0.9,0.07148147395136599,1.0
89.0,164.460827,2.0,0.7,0.9,0.07037036284025487,0.95
90.0,157.440656,2.0,0.7,0.9,0.06992753107539192,1.0
91.0,152.724452,2.0,0.7,0.9,0.06884057455365279,0.95
92.0,143.009082,2.0,0.7,0.9,0.06843971277931105,1.0
93.0,127.400875,2.0,0.7,0.9,0.06737588299207702,0.95
94.0,148.586411,2.0,0.7,0.9,0.06701388646748611,1.0
95.0,139.929416,2.0,0.7,0.9,0.06597221980081944,0.95
96.0,122.627691,2.0,0.7,0.9,0.06564625684301088,1.0
97.0,149.163883,2.0,0.7,0.9,0.06462584867974558,0.95
98.0,122.227513,2.0,0.7,0.9,0.06433333219430547,1.0
99.0,124.579945,2.0,0.7,0.9,0.06333333219430547,0.95
100.0,150.994301,2.0,0.7,0.9,0.0630718946431508,1.0
101.0,127.617323,2.0,0.7,0.9,0.06209150248628805,0.95
102.0,143.91961,2.0,0.7,0.9,0.061858973822317,1.0
103.0,187.658299,2.0,0.7,0.9,0.06089743536077854,0.95
104.0,121.609743,2.0,0.7,0.9,0.060691823530798834,1.0
105.0,343.358191,2.0,0.7,0.9,0.05974842730438373,0.95
106.0,124.82501,2.0,0.7,0.9,0.05956790098134512,1.0
107.0,145.641654,2.0,0.7,0.9,0.0586419750554192,0.95
108.0,203.856984,2.0,0.7,0.9,0.05848484831081537,1.0
109.0,120.317937,2.0,0.7,0.9,0.05757575740172446,0.95
110.0,153.515348,2.0,0.7,0.9,0.057440476070828424,1.0
111.0,153.094147,2.0,0.7,0.9,0.056547618927971284,0.95
112.0,133.980059,2.0,0.7,0.9,0.05643274845572761,1.0
113.0,127.066144,2.0,0.7,0.9,0.05555555547327147,0.95
114.0,186.08986,2.0,0.7,0.9,0.05545977005833675,1.0
115.0,123.388961,2.0,0.7,0.9,0.05459770109281951,0.95
116.0,129.481925,2.0,0.7,0.9,0.05451977397234699,1.0
117.0,142.158624,2.0,0.7,0.9,0.053672316345228344,0.95
118.0,139.790115,2.0,0.7,0.9,0.05361111108429884,1.0
119.0,136.021569,2.0,0.7,0.9,0.05277777775096551,0.95
120.0,131.191769,2.0,0.7,0.9,0.05273224041869756,1.0
121.0,224.478125,2.0,0.7,0.9,0.05191256828755002,0.95
122.0,132.83351,2.0,0.7,0.9,0.05188172041739332,1.0
123.0,146.954745,2.0,0.7,0.9,0.051075268804490086,0.95
124.0,143.206218,2.0,0.7,0.9,0.05105820104944238,1.0
125.0,194.036802,2.0,0.7,0.9,0.05026455025579159,0.95
126.0,123.577369,2.0,0.7,0.9,0.050260416660631385,1.0
127.0,136.667216,2.0,0.7,0.9,0.04947916666063139,0.95
128.0,208.273994,2.0,0.7,0.9,0.04948717948301979,1.0
129.0,144.648585,2.0,0.7,0.9,0.04871794871378902,0.95
130.0,133.15421,2.0,0.7,0.9,0.04873737373450606,1.0
